,Campus,Term,Course Code,Course Title,Course Description,Activity Type,Section,Credits,Days,Time,Building,Room,Instructor,Credit,GenEd Requirements,Registration Code,enrollCount,enrollMaximum,myPlanLink,index,mean,median,sd,fourpointo_per,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Start,End,prefix,Matched_Name,Name,Rating,Difficulty,Link,Department,Instructor Name,amount_learned_median,grading_techniques_median,instructors_contribution_median,instructors_effectiveness_median,instuctors_interest_median,the_course_as_a_whole_median,the_course_content_median,Clean_Course_Code,UUID
87,Seattle,Spring 2025,ANTH   215,Introduction to Medical Anthropology and Global Health,"Explores influences of global processes on health of U.S. and other societies from a social-justice perspective. Emphasizes inter-relationships between cultural, environmental, social-economic, political, and medical systems that contribute to health status, outcomes, policies, and healthcare delivery. Focuses on health disparities within and between societies and communities around the world.",quiz,AC,5,F,10:30 AM - 11:20 AM,ECE,054,None,5,"SSc, DIV",10297,7,25,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20215/details,ANTH215,3.7189079291315714,4.0,0.7280088133803293,66.8602962532675,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,3.0,2.0,2.0,2.0,6.0,5.0,4.0,5.0,7.0,11.0,8.0,14.0,9.0,16.0,18.0,13.0,13.0,15.0,42.0,28.0,26.0,49.0,69.0,89.0,91.0,135.0,158.0,203.0,2302.0,10:30,11:20,ANTH,No Match,,,,,,,,,,,,,,ANTH215,ANTH215ASpring2025
88,Seattle,Spring 2025,ANTH   215,Introduction to Medical Anthropology and Global Health,"Explores influences of global processes on health of U.S. and other societies from a social-justice perspective. Emphasizes inter-relationships between cultural, environmental, social-economic, political, and medical systems that contribute to health status, outcomes, policies, and healthcare delivery. Focuses on health disparities within and between societies and communities around the world.",quiz,AD,5,F,10:30 AM - 11:20 AM,PCAR,492,None,5,"SSc, DIV",10298,12,25,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20215/details,ANTH215,3.7189079291315714,4.0,0.7280088133803293,66.8602962532675,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,3.0,2.0,2.0,2.0,6.0,5.0,4.0,5.0,7.0,11.0,8.0,14.0,9.0,16.0,18.0,13.0,13.0,15.0,42.0,28.0,26.0,49.0,69.0,89.0,91.0,135.0,158.0,203.0,2302.0,10:30,11:20,ANTH,No Match,,,,,,,,,,,,,,ANTH215,ANTH215ASpring2025
89,Seattle,Spring 2025,ANTH   215,Introduction to Medical Anthropology and Global Health,"Explores influences of global processes on health of U.S. and other societies from a social-justice perspective. Emphasizes inter-relationships between cultural, environmental, social-economic, political, and medical systems that contribute to health status, outcomes, policies, and healthcare delivery. Focuses on health disparities within and between societies and communities around the world.",quiz,AE,5,F,11:30 AM - 12:20 PM,LOW,112,None,5,"SSc, DIV",10299,5,25,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20215/details,ANTH215,3.7189079291315714,4.0,0.7280088133803293,66.8602962532675,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,3.0,2.0,2.0,2.0,6.0,5.0,4.0,5.0,7.0,11.0,8.0,14.0,9.0,16.0,18.0,13.0,13.0,15.0,42.0,28.0,26.0,49.0,69.0,89.0,91.0,135.0,158.0,203.0,2302.0,11:30,12:20,ANTH,No Match,,,,,,,,,,,,,,ANTH215,ANTH215ASpring2025
90,Seattle,Spring 2025,ANTH   215,Introduction to Medical Anthropology and Global Health,"Explores influences of global processes on health of U.S. and other societies from a social-justice perspective. Emphasizes inter-relationships between cultural, environmental, social-economic, political, and medical systems that contribute to health status, outcomes, policies, and healthcare delivery. Focuses on health disparities within and between societies and communities around the world.",quiz,AF,5,F,11:30 AM - 12:20 PM,LOW,113,None,5,"SSc, DIV",10300,1,25,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20215/details,ANTH215,3.7189079291315714,4.0,0.7280088133803293,66.8602962532675,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,3.0,2.0,2.0,2.0,6.0,5.0,4.0,5.0,7.0,11.0,8.0,14.0,9.0,16.0,18.0,13.0,13.0,15.0,42.0,28.0,26.0,49.0,69.0,89.0,91.0,135.0,158.0,203.0,2302.0,11:30,12:20,ANTH,No Match,,,,,,,,,,,,,,ANTH215,ANTH215ASpring2025
91,Seattle,Spring 2025,ANTH   215,Introduction to Medical Anthropology and Global Health,"Explores influences of global processes on health of U.S. and other societies from a social-justice perspective. Emphasizes inter-relationships between cultural, environmental, social-economic, political, and medical systems that contribute to health status, outcomes, policies, and healthcare delivery. Focuses on health disparities within and between societies and communities around the world.",quiz,AG,5,F,12:30 PM - 1:20 PM,LOW,113,None,5,"SSc, DIV",10301,6,25,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20215/details,ANTH215,3.7189079291315714,4.0,0.7280088133803293,66.8602962532675,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,3.0,2.0,2.0,2.0,6.0,5.0,4.0,5.0,7.0,11.0,8.0,14.0,9.0,16.0,18.0,13.0,13.0,15.0,42.0,28.0,26.0,49.0,69.0,89.0,91.0,135.0,158.0,203.0,2302.0,12:30,13:20,ANTH,No Match,,,,,,,,,,,,,,ANTH215,ANTH215ASpring2025
92,Seattle,Spring 2025,ANTH   215,Introduction to Medical Anthropology and Global Health,"Explores influences of global processes on health of U.S. and other societies from a social-justice perspective. Emphasizes inter-relationships between cultural, environmental, social-economic, political, and medical systems that contribute to health status, outcomes, policies, and healthcare delivery. Focuses on health disparities within and between societies and communities around the world.",quiz,AH,5,F,12:30 PM - 1:20 PM,LOW,114,None,5,"SSc, DIV",10302,6,25,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20215/details,ANTH215,3.7189079291315714,4.0,0.7280088133803293,66.8602962532675,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,3.0,2.0,2.0,2.0,6.0,5.0,4.0,5.0,7.0,11.0,8.0,14.0,9.0,16.0,18.0,13.0,13.0,15.0,42.0,28.0,26.0,49.0,69.0,89.0,91.0,135.0,158.0,203.0,2302.0,12:30,13:20,ANTH,No Match,,,,,,,,,,,,,,ANTH215,ANTH215ASpring2025
93,Seattle,Spring 2025,ANTH   215,Introduction to Medical Anthropology and Global Health,"Explores influences of global processes on health of U.S. and other societies from a social-justice perspective. Emphasizes inter-relationships between cultural, environmental, social-economic, political, and medical systems that contribute to health status, outcomes, policies, and healthcare delivery. Focuses on health disparities within and between societies and communities around the world.",quiz,AI,5,F,1:30 PM - 2:20 PM,BAG,331A,None,5,"SSc, DIV",10303,14,25,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20215/details,ANTH215,3.7189079291315714,4.0,0.7280088133803293,66.8602962532675,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,3.0,2.0,2.0,2.0,6.0,5.0,4.0,5.0,7.0,11.0,8.0,14.0,9.0,16.0,18.0,13.0,13.0,15.0,42.0,28.0,26.0,49.0,69.0,89.0,91.0,135.0,158.0,203.0,2302.0,13:30,14:20,ANTH,No Match,,,,,,,,,,,,,,ANTH215,ANTH215ASpring2025
96,Seattle,Spring 2025,ANTH   233,Introduction to Language and Society,"Introduces the study of sociolects, the varieties of language that arise from differences in cultural and societal groups, often reflective of power inequalities. Raises awareness of the role that society and the individual play in shaping sociolects via the systematic observation and critical discussion of linguistic phenomena.",quiz,AA,5,Th,9:30 AM - 10:20 AM,MGH,238,Yadi Peng,5,"A&H, DIV",10305,1,3,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20233/details,ANTH233,2.795266272189349,3.1,1.0892595960379048,10.650887573964498,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,2.0,1.0,7.0,4.0,2.0,6.0,5.0,6.0,6.0,6.0,5.0,9.0,6.0,5.0,10.0,10.0,6.0,12.0,5.0,18.0,09:30,10:20,ANTH,Yadi Peng,,,,,,Yadi Peng,4.025,4.025,3.9,4.025,3.965,3.94,3.94,ANTH233,ANTH233ASpring2025
97,Seattle,Spring 2025,ANTH   233,Introduction to Language and Society,"Introduces the study of sociolects, the varieties of language that arise from differences in cultural and societal groups, often reflective of power inequalities. Raises awareness of the role that society and the individual play in shaping sociolects via the systematic observation and critical discussion of linguistic phenomena.",quiz,AD,5,Th,10:30 AM - 11:20 AM,MGH,228,Yadi Peng,5,"A&H, DIV",10306,1,4,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20233/details,ANTH233,2.795266272189349,3.1,1.0892595960379048,10.650887573964498,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,2.0,1.0,7.0,4.0,2.0,6.0,5.0,6.0,6.0,6.0,5.0,9.0,6.0,5.0,10.0,10.0,6.0,12.0,5.0,18.0,10:30,11:20,ANTH,Yadi Peng,,,,,,Yadi Peng,4.025,4.025,3.9,4.025,3.965,3.94,3.94,ANTH233,ANTH233ASpring2025
98,Seattle,Spring 2025,ANTH   233,Introduction to Language and Society,"Introduces the study of sociolects, the varieties of language that arise from differences in cultural and societal groups, often reflective of power inequalities. Raises awareness of the role that society and the individual play in shaping sociolects via the systematic observation and critical discussion of linguistic phenomena.",quiz,AE,5,Th,12:30 PM - 1:20 PM,MGH,228,Yadi Peng,5,"A&H, DIV",10307,4,4,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20233/details,ANTH233,2.795266272189349,3.1,1.0892595960379048,10.650887573964498,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,2.0,1.0,7.0,4.0,2.0,6.0,5.0,6.0,6.0,6.0,5.0,9.0,6.0,5.0,10.0,10.0,6.0,12.0,5.0,18.0,12:30,13:20,ANTH,Yadi Peng,,,,,,Yadi Peng,4.025,4.025,3.9,4.025,3.965,3.94,3.94,ANTH233,ANTH233ASpring2025
104,Seattle,Spring 2025,ANTH   323,Human Rights Law in Culture and Practice,"Introduces the complexities of issues surrounding human rights. Examines human rights concerns through critical analyses, taking into account legal, social, economic, and historical variables.",quiz,AA,5,TTh,8:30 AM - 9:20 AM,DEN,111,Alyson W. Bradley,5,"SSc, DIV",10310,4,4,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20323/details,ANTH323,3.386619718309859,3.75,1.0172615042661806,32.3943661971831,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,9.0,15.0,10.0,15.0,46.0,08:30,09:20,ANTH,No Match,,,,,,,,,,,,,,ANTH323,ANTH323ASpring2025
105,Seattle,Spring 2025,ANTH   323,Human Rights Law in Culture and Practice,"Introduces the complexities of issues surrounding human rights. Examines human rights concerns through critical analyses, taking into account legal, social, economic, and historical variables.",quiz,AB,5,TTh,9:30 AM - 10:20 AM,DEN,111,Alyson W. Bradley,5,"SSc, DIV",10311,3,3,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20323/details,ANTH323,3.386619718309859,3.75,1.0172615042661806,32.3943661971831,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,9.0,15.0,10.0,15.0,46.0,09:30,10:20,ANTH,No Match,,,,,,,,,,,,,,ANTH323,ANTH323ASpring2025
106,Seattle,Spring 2025,ANTH   323,Human Rights Law in Culture and Practice,"Introduces the complexities of issues surrounding human rights. Examines human rights concerns through critical analyses, taking into account legal, social, economic, and historical variables.",quiz,AC,5,TTh,10:30 AM - 11:20 AM,DEN,113,Bahar Saadat,5,"SSc, DIV",10312,3,3,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20323/details,ANTH323,3.386619718309859,3.75,1.0172615042661806,32.3943661971831,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,9.0,15.0,10.0,15.0,46.0,10:30,11:20,ANTH,No Match,,,,,,,,,,,,,,ANTH323,ANTH323ASpring2025
107,Seattle,Spring 2025,ANTH   323,Human Rights Law in Culture and Practice,"Introduces the complexities of issues surrounding human rights. Examines human rights concerns through critical analyses, taking into account legal, social, economic, and historical variables.",quiz,AD,5,TTh,12:30 PM - 1:20 PM,DEN,213,Bahar Saadat,5,"SSc, DIV",10313,3,3,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20323/details,ANTH323,3.386619718309859,3.75,1.0172615042661806,32.3943661971831,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,9.0,15.0,10.0,15.0,46.0,12:30,13:20,ANTH,No Match,,,,,,,,,,,,,,ANTH323,ANTH323ASpring2025
108,Seattle,Spring 2025,ANTH   323,Human Rights Law in Culture and Practice,"Introduces the complexities of issues surrounding human rights. Examines human rights concerns through critical analyses, taking into account legal, social, economic, and historical variables.",quiz,AE,5,TTh,1:30 PM - 2:20 PM,GUG,218,Marissa Olivares Morales,5,"SSc, DIV",10314,4,4,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20323/details,ANTH323,3.386619718309859,3.75,1.0172615042661806,32.3943661971831,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,9.0,15.0,10.0,15.0,46.0,13:30,14:20,ANTH,No Match,,,,,,,,,,,,,,ANTH323,ANTH323ASpring2025
109,Seattle,Spring 2025,ANTH   323,Human Rights Law in Culture and Practice,"Introduces the complexities of issues surrounding human rights. Examines human rights concerns through critical analyses, taking into account legal, social, economic, and historical variables.",quiz,AF,5,TTh,3:30 PM - 4:20 PM,GUG,218,Marissa Olivares Morales,5,"SSc, DIV",10315,3,3,https://course-app-api.planning.sis.uw.edu/api/courses/ANTH%20323/details,ANTH323,3.386619718309859,3.75,1.0172615042661806,32.3943661971831,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,9.0,15.0,10.0,15.0,46.0,15:30,16:20,ANTH,No Match,,,,,,,,,,,,,,ANTH323,ANTH323ASpring2025
143,Seattle,Spring 2025,ARCHY  205,Principles of Archaeology,"Techniques, methods, and goals of archaeological research. Excavation and dating of archaeological materials. General problems encountered in explaining archaeological phenomena.",quiz,AA,5,Th,8:30 AM - 9:20 AM,DEN,403,None,5,SSc,10431,3,25,https://course-app-api.planning.sis.uw.edu/api/courses/ARCHY%20205/details,ARCHY205,3.386319845857418,3.7,0.8926944674128402,27.9383429672447,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,5.0,4.0,1.0,3.0,2.0,3.0,3.0,6.0,4.0,4.0,8.0,9.0,6.0,16.0,14.0,9.0,12.0,12.0,18.0,25.0,22.0,46.0,55.0,58.0,145.0,08:30,09:20,ARCHY,No Match,,,,,,,,,,,,,,ARCHY205,ARCHY205ASpring2025
